,Name,Set,Types,Cost,Text,Actions / Villagers,Cards,Buys,Coins / Coffers,Trash / Return,Exile,Junk,Gain,Victory Points
197,Highway,Hinterlands,Action,,"+1 Card +1 Action This turn, cards cost less.",+1,+1,,R1,,,,,
198,Ill-Gotten Gains,"Hinterlands, 1E",Treasure,,"You may gain a Copper to your hand.When you gain this, each other player gains a Curse.",,,,+,,,Self? *1,1?,
199,Inn,Hinterlands,Action,,"+2 Cards +2 Actions Discard 2 cards.When you gain this, look through your discard pile, reveal any number of Action cards from it (which can include this), and shuffle them into your deck.",+2,"+2,-2",,,,,,,
200,Mandarin,"Hinterlands, 1E",Action,,"+ Put a card from your hand onto your deck.When you gain this, put all Treasures you have in play onto your deck in any order.",,-1,,+,,,,,
201,Margrave,Hinterlands,Action - Attack,,"+3 Cards +1 Buy Each other player draws a card, then discards down to 3 cards in hand.",,+3,+1,,,,,,
202,Souk,"Hinterlands, 2E",Action,,"+1 Buy + – per card in your hand (you can't go below ).When you gain this, trash up to 2 cards from your hand.",,,1,"+, -",*0-2,,,,
203,Stables,Hinterlands,Action,,"You may discard a Treasure, for +3 Cards and +1 Action.",+1?,"-1?,+3?",,,,,,,
204,Wheelwright,"Hinterlands, 2E",Action,,+1 Card +1 Action You may discard a card to gain an Action card costing as much as it or less.,+1,+1,,,,,,1?,
205,Witch's Hut,"Hinterlands, 2E",Action - Attack,,"+4 Cards Discard 2 cards, revealed. If they're both Actions, each other player gains a Curse.",,"+4, -2",,,,,1?,,
206,Border Village,Hinterlands,Action,,"+1 Card +2 ActionsWhen you gain this, gain a cheaper card.",+2,+1,,,,,,*1,
207,Farmland,Hinterlands,Victory,,"2 When you gain this, trash a card from your hand and gain a non-Farmland card costing exactly more than it.",,,,,*1,,,*1,2
208,Poor House,Dark Ages,Action,,+ Reveal your hand. – per Treasure card in your hand. (You can't go below .),,,,"+, -",,,,,
209,Beggar,Dark Ages,Action - Reaction,,"Gain 3 Coppers to your hand.When another player plays an Attack card, you may first discard this to gain 2 Silvers, putting one onto your deck.",,,,(+?),,,3 Self,3 *2,
210,Squire,Dark Ages,Action,,"+ Choose one: +2 Actions; or +2 Buys; or gain a Silver.When you trash this, gain an Attack card.",+2?,,+2?,+,,,,1? *1,
211,Vagrant,Dark Ages,Action,,"+1 Card +1 Action Reveal the top card of your deck. If it’s a Curse, Ruins, Shelter, or Victory card, put it into your hand.",+1,"+1, +1?",,,,,,,
212,Forager,Dark Ages,Action,,"+1 Action +1 Buy Trash a card from your hand, then + per differently named Treasure in the trash.",+1,,+1,+,1,,,,
213,Hermit,Dark Ages,Action,,"Look through your discard pile. You may trash a non-Treasure from it or from your hand. Gain a card costing up to . At the end of your Buy phase this turn, if you didn't gain any cards in it, exchange this for a Madman.",,,,,"1?, *Self?",,,"1, 1?",
214,Market Square,Dark Ages,Action - Reaction,,"+1 Card +1 Action +1 BuyWhen one of your cards is trashed, you may discard this from your hand to gain a Gold.",+1,+1,+1,,,,,,
215,Sage,Dark Ages,Action,,+1 Action Reveal cards from the top of your deck until you reveal one costing or more. Put that card into your hand and discard the rest.,+1,+1,,,,,,,
216,Storeroom,Dark Ages,Action,,"+1 Buy Discard any number of cards, then draw that many. Then discard any number of cards for + each.",,"-Y,+Y, -X",+1,+,,,,,
217,Urchin,Dark Ages,Action - Attack,,"+1 Card +1 Action Each other player discards down to 4 cards in hand.When you play another Attack card with this in play, you may first trash this, to gain a Mercenary from the Mercenary pile.",+1,+1,,,Self?,,,1?,
218,Armory,Dark Ages,Action,,Gain a card onto your deck costing up to .,,,,,,,,1,
219,Death Cart,Dark Ages,Action - Looter,,"You may trash this or an Action card from your hand, for +.When you gain this, gain 2 Ruins.",,,,+,1 or Self?,,,,
220,Feodum,Dark Ages,Victory,,"Worth 1 per 3 Silvers you have (round down).When you trash this, gain 3 Silvers.",,,,,,,,*3,X
221,Fortress,Dark Ages,Action,,"+1 Card +2 ActionsWhen you trash this, put it into your hand.",+2,+1 *+Self,,,,,,,
222,Ironmonger,Dark Ages,Action,,"+1 Card +1 Action Reveal the top card of your deck; you may discard it. Either way, if it is an… Action card, +1 Action Treasure card, + Victory card, +1 Card","+1, +1?","+1, +1?",,+?,,,,,
223,Marauder,Dark Ages,Action - Attack - Looter,,Gain a Spoils from the Spoils pile. Each other player gains a Ruins.,,,,,,,1,1,
224,Procession,Dark Ages,Action,,You may play a non-Duration Action card from your hand twice. Trash it. Gain an Action card costing exactly more than it.,P2,,,,1?,,,1,
225,Rats,Dark Ages,Action,,"+1 Card +1 Action Gain a Rats. Trash a card from your hand other than a Rats (or reveal a hand of all Rats).When you trash this, +1 Card.",+1,+1 *1,,,1,,,1,
226,Scavenger,Dark Ages,Action,,+ You may put your deck into your discard pile. Look through your discard pile and put one card from it onto your deck.,,,,+,,,,,
227,Wandering Minstrel,Dark Ages,Action,,+1 Card +2 Actions Reveal the top 3 cards of your deck. Put the Action cards back in any order and discard the rest.,+2,+1,,,,,,,
228,Band of Misfits,Dark Ages,Action - Command,,"Play a non-Command Action card from the Supply that costs less than this, leaving it there.",,,,,,,,,
229,Bandit Camp,Dark Ages,Action,,+1 Card +2 Actions Gain a Spoils from the Spoils pile.,+2,+1,,,,,,1,
230,Catacombs,Dark Ages,Action,,"Look at the top 3 cards of your deck. Choose one: Put them into your hand; or discard them and +3 Cards.When you trash this, gain a cheaper card.",,+3,,,,,,,
231,Count,Dark Ages,Action,,Choose one: Discard 2 cards; or put a card from your hand onto your deck; or gain a Copper. Choose one: +; or trash your hand; or gain a Duchy.,,"-1?, -2?",,+?,X?,,Self?,"1?, 1?",(+3 ?)
232,Counterfeit,Dark Ages,Treasure,,+1 Buy You may play a non-Duration Treasure from your hand twice. Trash it.,,,+1,+,1?,,,,
233,Cultist,Dark Ages,Action - Attack - Looter,,"+2 Cards. Each other player gains a Ruins. You may play a Cultist from your hand.When you trash this, +3 Cards.",P1?,+2,,,,,1,,
234,Graverobber,Dark Ages,Action,,"Choose one: Gain a card from the trash costing from to , onto your deck; or trash an Action card from your hand and gain a card costing up to more than it.",,,,,1?,,,1,
235,Junk Dealer,Dark Ages,Action,,+1 Card +1 Action +. Trash a card from your hand.,+1,+1,,+,1,,,,
236,Mystic,Dark Ages,Action,,"+1 Action + Name a card, then reveal the top card of your deck. If you named it, put it into your hand.",+1,+1?,,+,,,,,
237,Pillage,Dark Ages,Action - Attack,,"Trash this. If you did, gain 2 Spoils, and each other player with 5 or more cards in hand reveals their hand and discards a card that you choose.",,,,,Self,,,2,
238,Rebuild,Dark Ages,Action,,"+1 Action  Name a card. Reveal cards from your deck until you reveal a Victory card you did not name. Discard the rest, trash the Victory card, and gain a Victory card costing up to more than it.",+1,,,,1?,,,1?,
239,Rogue,Dark Ages,Action - Attack,,"+ If there are any cards in the trash costing from to , gain one of them. Otherwise, each other player reveals the top 2 cards of their deck, trashes one of them costing from to , and discards the rest.",,,,+,,,,1?,
240,Altar,Dark Ages,Action,,Trash a card from your hand. Gain a card costing up to .,,,,,1,,,1,
241,Hunting Grounds,Dark Ages,Action,,"+4 CardsWhen you trash this, gain a Duchy or 3 Estates.",,+4,,,,,,,*(+3 )
242,Abandoned Mine,Dark Ages,Action - Ruins,,+,,,,+,,,,,
243,Ruined Library,Dark Ages,Action - Ruins,,+1 Card,,+1,,,,,,,
244,Ruined Market,Dark Ages,Action - Ruins,,+1 Buy,,,+1,,,,,,
245,Ruined Village,Dark Ages,Action - Ruins,,+1 Action,+1,,,,,,,,
246,Survivors,Dark Ages,Action - Ruins,,Look at the top 2 cards of your deck. Discard them or put them back in any order.,,,,,,,,,
247,Dame Anna,Dark Ages,Action - Attack - Knight,,"You may trash up to 2 cards from your hand. Each other player reveals the top 2 cards of their deck, trashes one of them costing from to , and discards the rest. If a Knight is trashed by this, trash this.",,,,,"0-2, Self?",,,,
248,Dame Josephine,Dark Ages,Action - Attack - Victory - Knight,,"Each other player reveals the top 2 cards of their deck, trashes one of them costing from to , and discards the rest. If a Knight is trashed by this, trash this.2",,,,,Self?,,,,2
249,Dame Molly,Dark Ages,Action - Attack - Knight,,"+2 Actions Each other player discards the top 2 cards of their deck, trashes one of them costing from to , and discards the rest. If a Knight is trashed by this, trash this.",+2,,,,Self?,,,,
250,Dame Natalie,Dark Ages,Action - Attack - Knight,,"You may gain a card costing up to . Each other player reveals the top 2 cards of their deck, trashes one of them costing from to , and discards the rest. If a Knight is trashed by this, trash this.",,,,,Self?,,,1?,
251,Dame Sylvia,Dark Ages,Action - Attack - Knight,,"+ Each other player reveals the top 2 cards of their deck, trashes one of them costing from to , and discards the rest. If a Knight is trashed by this, trash this.",,,,+,Self?,,,,
252,Sir Bailey,Dark Ages,Action - Attack - Knight,,"+1 Card +1 Action Each other player reveals the top 2 cards of their deck, trashes one of them costing from to , and discards the rest. If a Knight is trashed by this, trash this.",+1,+1,,,Self?,,,,
253,Sir Destry,Dark Ages,Action - Attack - Knight,,"+2 Cards Each other player reveals the top 2 cards of their deck, trashes one of them costing from to , and discards the rest. If a Knight is trashed by this, trash this.",,+2,,,Self?,,,,
254,Sir Martin,Dark Ages,Action - Attack - Knight,,"+2 Buys Each other player reveals the top 2 cards of their deck, trashes one of them costing from to , and discards the rest. If a Knight is trashed by this, trash this.",,,+2,,Self?,,,,
255,Sir Michael,Dark Ages,Action - Attack - Knight,,"Each other player discards down to 3 cards in hand. Each other player reveals the top 2 cards of their deck, trashes one of them costing from to , and discards the rest. If a Knight is trashed by this, trash this.",,,,,Self?,,,,
256,Sir Vander,Dark Ages,Action - Attack - Knight,,"Each other player reveals the top 2 cards of their deck, trashes one of them costing from to , and discards the rest. If a Knight is trashed by this, trash this.When you trash this, gain a Gold.",,,,,Self?,,,*1,
257,Madman,Dark Ages,Action,,"+2 Actions Return this to the Madman pile. If you do, +1 Card per card in your hand. (This is not in the Supply.)",+2,+X,,,Self,,,,
258,Mercenary,Dark Ages,Action - Attack,,"You may trash 2 cards from your hand. If you did, +2 Cards, +, and each other player discards down to 3 cards in hand. (This is not in the Supply.)",,+2?,,+?,2?,,,,
259,Spoils,Dark Ages,Treasure,,"When you play this, return it to the Spoils pile. (This is not in the Supply.)",,,,+,Self,,,,
260,Hovel,Dark Ages,Reaction - Shelter,,"When you gain a Victory card, you may trash this from your hand.",,,,,,,,,
261,Necropolis,Dark Ages,Action - Shelter,,+2 Actions,+2,,,,,,,,
262,Overgrown Estate,Dark Ages,Victory - Shelter,,"0 When you trash this, +1 Card.",,*+1,,,,,,,
263,Candlestick Maker,Guilds,Action,,+1 Action +1 Buy +1 Coffers,+1,,+1,+1,,,,,
264,Stonemason,Guilds,Action,,Trash a card from your hand. Gain 2 cards each costing less than it.Overpay: Gain 2 Action cards each costing the amount overpaid.,,,,,1,,,2 *2?,
265,Doctor,Guilds,Action,,"Name a card. Reveal the top 3 cards of your deck. Trash the matches. Put the rest back in any order.Overpay: Per overpaid, look at the top card of your deck; trash it, discard it, or put it back.",,,,,0-3 *X,,,,
266,Masterpiece,Guilds,Treasure,,Overpay: Gain a Silver per overpaid.,,,,+,,,,*X,
267,Advisor,Guilds,Action,,+1 Action Reveal the top 3 cards of your deck. The player to your left chooses one of them. Discard that card and put the rest into your hand.,+1,+2,,,,,,,
268,Herald,Guilds,Action,,"+1 Card +1 Action Reveal the top card of your deck. If it's an Action, play it.Overpay: Per overpaid, put any card from your discard pile onto your deck.","+1, P1?","+1, P1?",,,,,,,
269,Plaza,Guilds,Action,,+1 Card +2 Actions You may discard a Treasure for +1 Coffers.,+2,"+1, -1?",,+1?,,,,,
270,Taxman,Guilds,Action - Attack,,You may trash a Treasure from your hand. Each other player with 5 or more cards in hand discards a copy of it (or reveals they can't). Gain a Treasure onto your deck costing up to more than it.,,,,,1?,,,1?,
271,Baker,Guilds,Action,,+1 Card +1 Action +1 CoffersSetup: Each player gets +1 Coffers.,+1,+1,,+1,,,,,
272,Butcher,Guilds,Action,,"+2 Coffers You may trash a card from your hand, to gain a card, costing up to more than it per Coffers you spend.",,,,"+2, -X",1?,,1?,,
273,Journeyman,Guilds,Action,,Name a card. Reveal cards from your deck until you reveal 3 cards without that name. Put those cards into your hand and discard the rest.,,+3,,,,,,,
274,Merchant Guild,Guilds,Action,,"+1 Buy + At the end of your Buy phase this turn, +1 Coffers per card you gained in it.",,,+1,+ *+X,,,,,
275,Soothsayer,Guilds,Action - Attack,,"Gain a Gold. Each other player gains a Curse, and if they did, draws a card.",,,,,,,1,1,
276,Coin of the Realm,Adventures,Treasure - Reserve,,"When you play this, put it on your Tavern mat.Directly after you finish playing an Action card, you may call this, for +2 Actions.",C+2,,,+,,,,,
277,Page,Adventures,Action - Traveller,,"+1 Card +1 ActionWhen you discard this from play, you may exchange it for a Treasure Hunter.",+1,+1,,,Self?,,,,
278,Peasant,Adventures,Action - Traveller,,"+1 Buy +When you discard this from play, you may exchange it for a Soldier.",,,+1,+,Self?,,,,
279,Ratcatcher,Adventures,Action - Reserve,,"+1 Card +1 Action Put this on your Tavern mat.At the start of your turn, you may call this, to trash a card from your hand.",+1,+1,,,C1,,,,
280,Raze,Adventures,Action,,+1 Action Trash this or a card from your hand. Look at one card from the top of your deck per the trashed card costs. Put one of them into your hand and discard the rest.,+1,+1?,,,1 or Self,,,,
281,Amulet,Adventures,Action - Duration,,"Now and at the start of your next turn, choose one: +; or trash a card from your hand; or gain a Silver.",,,,"+?, N +?","1?, N 1?",,,"1?, N 1?",
282,Caravan Guard,Adventures,Action - Duration - Reaction,,"+1 Card +1 Action At the start of your next turn, +.When another player plays an Attack card, you may first play this from your hand.",+1,+1,,N +,,,,,
283,Dungeon,Adventures,Action - Duration,,"+1 Action Now and at the start of your next turn: +2 Cards, then discard 2 cards.",+1,"+2,-2, N +2, N -1",,,,,,,
284,Gear,Adventures,Action - Duration,,"+2 Cards Set aside up to 2 cards from your hand face down (under this). At the start of your next turn, put them into your hand.",,"+2, -0-2(X), N +X",,,,,,,
285,Guide,Adventures,Action - Reserve,,"+1 Card +1 Action Put this on your Tavern mat.At the start of your turn, you may call this, to discard your hand and draw 5 cards.",+1,"+1, C-X?,+5?",,,,,,,
286,Duplicate,Adventures,Action - Reserve,,"Put this on your Tavern mat.When you gain a card costing up to , you may call this, to gain a copy of that card.",,,,,,,,C1,
287,Magpie,Adventures,Action,,"+1 Card +1 Action Reveal the top card of your deck. If it's a Treasure, put it into your hand. If it's an Action or Victory card, gain a Magpie.",+1,"+1, +1?",,,,,,1?,
288,Messenger,Adventures,Action,,"+1 Buy + You may put your deck into your discard pile.When this is the first card you gain in your Buy phase, gain a card costing up to , and each other player gains a copy of it.",,,+1,+,,,,,
289,Miser,Adventures,Action,,Choose one: Put a Copper from your hand onto your Tavern mat; or + per Copper on your Tavern mat.,,,,+?,1?,,,,
290,Port,Adventures,Action,,"+1 Card +2 ActionsWhen you gain this, gain another Port (that doesn't come with another).",+2,+1,,,,,,*1,
291,Ranger,Adventures,Action,,"+1 Buy Turn your Journey token over (it starts face up). Then if it's face up, +5 Cards.",,+5?,+1,,,,,,
292,Transmogrify,Adventures,Action - Reserve,,"+1 Action Put this on your Tavern mat.At the start of your turn, you may call this, to trash a card from your hand, and gain a card to your hand costing up to more than it.",+1,,,,C1,,,C1,
293,Artificer,Adventures,Action,,+1 Card +1 Action + Discard any number of cards. You may gain a card onto your deck costing exactly per card discarded.,+1,"+1,-X",,+,,,,1?,
294,Bridge Troll,Adventures,Action - Attack - Duration,,"Each other player takes their – token. On this turn and your next turn, cards cost less. Now and at the start of your next turn: +1 Buy.",,,"+1, N +1","R1, N R1",,,,,
295,Distant Lands,Adventures,Action - Reserve - Victory,,Put this on your Tavern mat.Worth 4 if on your Tavern mat at the end of the game (otherwise worth 0 ).,,,,,,,,,4 ?
296,Giant,Adventures,Action - Attack,,"Turn your Journey token over (it starts face up). Then if it's face down, +. If it's face up, +, and each other player reveals the top card of his deck, trashes it if it costs from to , and otherwise discards it and gains a Curse.",,,,"+, +?",,,1?,,
297,Haunted Woods,Adventures,Action - Attack - Duration,,"At the start of your next turn: +3 Cards.Until then, when any other player gains a card they bought, they put their hand onto their deck in any order.",,N +3,,,,,,,
298,Lost City,Adventures,Action,,"+2 Cards +2 ActionsWhen you gain this, each other player draws a card.",+2,+2,,,,,,,
299,Relic,Adventures,Treasure - Attack,,"When you play this, each other player puts their –1 Card token on their deck.",,,,+,,,,,
300,Royal Carriage,Adventures,Action - Reserve,,"+1 Action Put this on your Tavern mat.Directly after you finish playing an Action card, if it's still in play, you may call this, to replay that Action.",+1 C P1,,,,,,,,
301,Storyteller,Adventures,Action,,"+1 Action Play up to 3 Treasures from your hand. Then +1 Card, and pay all of your and Card per you paid.",+1,+(X+1),,-,,,,,
302,Swamp Hag,Adventures,Action - Attack - Duration,,"At the start of your next turn +.Until then, when any other player gains a card they bought, they gain a Curse.",,,,N +,,,1?,,
303,Treasure Trove,Adventures,Treasure,,"When you play this, gain a Gold and a Copper.",,,,+,,,Self?,2,
304,Wine Merchant,Adventures,Action - Reserve,,"+ +1 Buy Put this on your Tavern mat.At the end of your Buy phase, if you have at least unspent, you may discard this from your Tavern mat.",,,+1,"+, C-?",,,,,
305,Hireling,Adventures,Action - Duration,,At the start of each of your turns for the rest of the game: +1 Card,,N... +1,,,,,,,
306,Alms,Adventures,Event,,"Once per turn: If you have no Treasures in play, gain a card costing up to .",,,,,,,,1,
307,Borrow,Adventures,Event,,"Once per turn: +1 Buy. If your –1 Card token isn't on your deck, put it there and +.",,,+1,+,,,,,
308,Quest,Adventures,Event,,"You may discard an Attack, two Curses, or six cards. If you do, gain a Gold.",,-X,,,,,,1?,
309,Save,Adventures,Event,,"Once per turn: +1 Buy. Set aside a card from your hand, and put it into your hand at end of turn (after drawing).",,,+1,,,,,,
310,Scouting Party,Adventures,Event,,+1 Buy Look at the top 5 cards of your deck. Discard 3 and put the rest back in any order.,,,+1,,,,,,
311,Travelling Fair,Adventures,Event,,"+2 Buys When you gain a card this turn, you may put it onto your deck.",,,+2,,,,,,
312,Bonfire,Adventures,Event,,Trash up to 2 Coppers you have in play.,,,,,0-2,,,,
313,Expedition,Adventures,Event,,Draw 2 extra cards for your next hand.,,N +2,,,,,,,
314,Ferry,Adventures,Event,,"Move your – cost token to an Action Supply pile. (Cards from that pile cost less on your turns, but not less than .)",,,,,,,,,
315,Plan,Adventures,Event,,"Move your Trashing token to an Action Supply pile. (When you gain a card from that pile, you may trash a card from your hand.)",,,,,**1?,,,,
316,Mission,Adventures,Event,,"Once per turn: If the previous turn wasn't yours, take another turn after this one, during which you can't buy cards.",,,,,,,,,
317,Pilgrimage,Adventures,Event,,"Once per turn: Turn your Journey token over (it starts face up); then if it's face up, choose up to 3 differently named cards you have in play and gain a copy of each.",,,,,,,,3?,
318,Ball,Adventures,Event,,Take your – token. Gain 2 cards each costing up to .,,,,-,,,,2,
319,Raid,Adventures,Event,,Gain a Silver per Silver you have in play. Each other player puts their –1 Card token on their deck.,,,,,,,,X,
320,Seaway,Adventures,Event,,"Gain an Action card costing up to . Move your +1 Buy token to its pile. (When you play a card from that pile, you first get +1 Buy.)",,,**+1,,,,,1,
321,Trade,Adventures,Event,,Trash up to 2 cards from your hand. Gain a Silver per card you trashed.,,,,,0-2,,,0-2,
322,Lost Arts,Adventures,Event,,"Move your +1 Action token to an Action Supply pile. (When you play a card from that pile, you first get +1 Action.)",**+1,,,,,,,,
323,Training,Adventures,Event,,"Move your + token to an Action Supply pile. (When you play a card from that pile, you first get +.)",,,,**+,,,,,
324,Inheritance,Adventures,Event,,"Once per game: Set aside a non-Command Action card from the Supply costing up to . Move your Estate token to it. (During your turns, Estates are also Command Actions with ""Play the card with your Estate token, leaving it there."")",,,,,,,,,
325,Pathfinding,Adventures,Event,,"Move your +1 Card token to an Action Supply pile. (When you play a card from that pile, you first get +1 Card.)",,**+1,,,,,,,
326,Soldier,Adventures,Action - Attack - Traveller,,"+ + per other Attack you have in play. Each other player with 4 or more cards in hand discards a card.When you discard this from play, you may exchange it for a Fugitive. (This is not in the Supply.)",,,,+ +,Self?,,,,
327,Fugitive,Adventures,Action - Traveller,,"+2 Cards +1 Action Discard a card.When you discard this from play, you may exchange it for a Disciple. (This is not in the Supply.)",+1,"+2, -1",,,Self?,,,,
328,Disciple,Adventures,Action - Traveller,,"You may play an Action card from your hand twice. Gain a copy of it.When you discard this from play, you may exchange it for a Teacher. (This is not in the Supply.)",P2,,,,Self?,,,1,
329,Teacher,Adventures,Action - Reserve,,"Put this on your Tavern mat.At the start of your turn, you may call this, to move your +1 Card, +1 Action, +1 Buy, or + token to an Action Supply pile you have no tokens on. (When you play a card from that pile, you first get that bonus.) (This is not in the Supply.)",C**+1?,C**+1?,C**+1?,C**+?,,,,,
330,Treasure Hunter,Adventures,Action - Traveller,,"+1 Action + Gain a Silver per card the player to your right gained on their last turn.When you discard this from play, you may exchange it for a Warrior. (This is not in the Supply.)",+1,,,+,Self?,,,X,
331,Warrior,Adventures,Action - Attack - Traveller,,"+2 Cards Once per Traveller you have in play (including this), each other player discards the top card of their deck and trashes it if it costs or .When you discard this from play, you may exchange it for a Hero. (This is not in the Supply.)",,+2,,,Self?,,,,
332,Hero,Adventures,Action - Traveller,,"+ Gain a Treasure.When you discard this from play, you may exchange it for a Champion. (This is not in the Supply.)",,,,+,Self?,,,1,
333,Champion,Adventures,Action - Duration,,"+1 Action For the rest of the game, when another player plays an Attack, it doesn't affect you, and when you play an Action card, you first get +1 Action.(This is not in the Supply.)","+1, **+1",,,,,,,,
334,Engineer,Empires,Action,,"Gain a card costing up to . You may trash this. If you do, gain a card costing up to .",,,,,Self?,,,"1, 1?",
335,City Quarter,Empires,Action,,+2 Actions Reveal your hand. +1 Card per Action card revealed.,+2,+X,,,,,,,
336,Royal Blacksmith,Empires,Action,,+5 Cards Reveal your hand; discard the Coppers.,,"+5,-X",,,,,,,
337,Overlord,Empires,Action - Command,,"Play a non-Command Action card from the Supply costing up to , leaving it there.",,,,,,,,,
338,Encampment,Empires,Action,,"+2 Cards +2 Actions You may reveal a Gold or Plunder from your hand. If you do not, set this aside, and return it to the Supply at the start of Clean-up.",+2,+2,,,Self?,,,,
339,Patrician,Empires,Action,,"+1 Card +1 Action Reveal the top card of your deck. If it costs or more, put it into your hand.",+1,"+1, +1?",,,,,,,
340,Settlers,Empires,Action,,+1 Card +1 Action Look through your discard pile. You may reveal a Copper from it and put it into your hand.,+1,+1,,+?,,,,,
341,Catapult,Empires,Action - Attack,,"+ Trash a card from your hand. If it costs or more, each other player gains a Curse. If it's a Treasure, each other player discards down to 3 cards in hand.",,,,+,1,,1?,,
342,Chariot Race,Empires,Action,,"+1 Action Reveal the top card of your deck and put it into your hand. The player to your left reveals the top card of their deck. If your card costs more, + and +1 .",+1,+1,,+?,,,,,+1 ?
343,Enchantress,Empires,Action - Attack - Duration,,"Until your next turn, the first time each other player plays an Action card on their turn, they get +1 Card and +1 Action instead of following its instructions. At the start of your next turn, +2 Cards.",,N +2,,,,,,,
344,Farmers' Market,Empires,Action - Gathering,,"+1 Buy If there are 4 or more on the Farmers' Market Supply pile, take them and trash this. Otherwise, add 1 to the pile and then + per 1 on the pile.",,,+1,"+?, +?, +?, +?",Self?,,,,+4 ?
345,Gladiator,Empires,Action,,"+ Reveal a card from your hand. The player to your left may reveal a copy from their hand. If they do not, + and trash a Gladiator from the Supply.",,,,"+, +?",,,,,
346,Rocks,Empires,Treasure,,"When you gain or trash this, gain a Silver; if it is your Buy phase, put the Silver on your deck, otherwise put it into your hand.",,*+1,,+,,,,*1,
347,Sacrifice,Empires,Action,,"Trash a card from your hand. If it's an… Action card, +2 Cards, +2 Actions Treasure card, + Victory card, +2",+2?,+2?,,+?,1,,,,+2 ?
348,Temple,Empires,Action - Gathering,,"+1 Trash from 1 to 3 differently named cards from your hand. Add 1 to the Temple Supply pileWhen you gain this, take the from the Temple Supply pile.",,,,,1-3,,,,+1 *+X
349,Villa,Empires,Action,,"+2 Actions +1 Buy +When you gain this, put it into your hand, +1 Action, and if it's your Buy phase return to your Action phase.",+2 *+1,*+Self,+1,+,,,,,
350,Archive,Empires,Action - Duration,,"+1 Action Set aside the top 3 cards of your deck face down (you may look at them). Now and at the start of your next two turns, put one into your hand.",+1,"+1, N+1, NN+1",,,,,,,
351,Bustling Village,Empires,Action,,+1 Card +3 Actions Look through your discard pile. You may reveal a Settlers from it and put it into your hand.,+3,"+1, +1?",,,,,,,
352,Capital,Empires,Treasure,,"+1 BuyWhen you discard this from play, take , and then you may pay off",,,+1,"+, N +",,,,,
353,Charm,Empires,Treasure,,"Choose one: +1 Buy and +; or the next time you gain a card this turn, you may also gain a differently named card with the same cost.",,,+1?,+?,,,,1?,
354,Crown,Empires,Action - Treasure,,"If it's your Action phase, you may play an Action from your hand twice. If it's your Buy phase, you may play a Treasure from your hand twice.",P2?,,,,,,,,
355,Emporium,Empires,Action,,"+1 Card +1 Action +When you gain this, if you have at least 5 Action cards in play, +2 .",+1,+1,,+,,,,,*+2
356,Forum,Empires,Action,,"+3 Cards +1 Action Discard 2 cardsWhen you gain this, +1 Buy.",+1,"+3, -2",*+1,,,,,,
357,Groundskeeper,Empires,Action,,"+1 Card +1 Action This turn, when you gain a Victory card, +1 .",+1,+1,,,,,,,+X
358,Legionary,Empires,Action - Attack,,"+ You may reveal a Gold from your hand. If you do, each other player discards down to 2 cards in hand, then draws a card.",,,,+,,,,,
359,Plunder,Empires,Treasure,,+1,,,,+,,,,,+1
360,Wild Hunt,Empires,Action - Gathering,,"Choose one: +3 Cards and add 1 to the Wild Hunt Supply pile; or gain an Estate, and if you do, take the from the pile.",,+3?,,,,,,1?,(+1 ) +X
361,Fortune,Empires,Treasure,,"+1 Buy When you play this, double your if you haven't yet this turn.When you gain this, gain a Gold per Gladiator you have in play.",,,+1,?,,,,,
362,Humble Castle,Empires,Treasure - Victory - Castle,,Worth 1 per Castle you have.,,,,+,,,,,X
363,Crumbling Castle,Empires,Victory - Castle,,"1 When you gain or trash this, +1 and gain a Silver.",,,,,,,,*1,1 *+1
364,Small Castle,Empires,Action - Victory - Castle,,"Trash this or a Castle from your hand. If you do, gain a Castle.2",,,,,1 or Self,,,1,2
365,Haunted Castle,Empires,Victory - Castle,,"2 When you gain this during your turn, gain a Gold, and each other player with 5 or more cards in hand puts 2 of them onto their deck.",,,,,,,,*1,2
366,Opulent Castle,Empires,Action - Victory - Castle,,Discard any number of Victory cards. + per card discarded.3,,-X,,+x2,,,,,3
367,Sprawling Castle,Empires,Victory - Castle,,"4 When you gain this, gain a Duchy or 3 Estates.",,,,,,,,*1-3,4 (*+3 )
368,Grand Castle,Empires,Victory - Castle,,"5 When you gain this, reveal your hand. +1 per Victory card in your hand and/or in play.",,,,,,,,,5 *+X
369,King's Castle,Empires,Victory - Castle,,Worth 2 per Castle you have.,,,,,,,,,X
370,Triumph,Empires,Event,,"Gain an Estate. If you did, +1 per card you've gained this turn.",,,,,,,,1,(+1 ) +X
371,Annex,Empires,Event,,Look through your discard pile. Shuffle all but up to 5 cards from it into your deck. Gain a Duchy.,,,,,,,,1,(+3 )
372,Donate,Empires,Event,,"At the start of your next turn, first, put your deck and discard pile into your hand, trash any number of cards from it, then shuffle the rest into your deck and draw 5 cards.",,,,,X,,,,
373,Advance,Empires,Event,,"You may trash an Action card from your hand. If you do, gain an Action card costing up to .",,,,,1?,,,1,
374,Delve,Empires,Event,,+1 Buy Gain a Silver.,,,+1,,,,,1,
375,Tax,Empires,Event,,"Add to a Supply pile.Setup: Add to each Supply pile. When a player gains a card in their Buy phase, they take the from its pile.",,,,,,,,,
376,Banquet,Empires,Event,,Gain 2 Coppers and a non-Victory card costing up to .,,,,,,2 Self?,,3,
